población_N;1.8000;2.0000;2.6000;0.4472;0.7071;0.5477
obra_N;2.2000;2.4000;2.4000;0.4472;0.5477;0.8944
dormir_V;3.0000;1.4000;3.0000;0.0000;0.8944;0.0000
dar_V;2.8000;3.0000;3.0000;0.4472;0.0000;0.0000
realizar_V;2.6000;3.0000;2.8000;0.5477;0.0000;0.4472
haber_V;2.0000;1.8000;1.8000;0.0000;0.8367;0.4472
amor_N;3.0000;2.6000;2.4000;0.0000;0.5477;0.8944
aparecer_V;2.0000;2.6000;2.6000;0.0000;0.8944;0.5477
seguir_V;2.4000;2.6000;2.8000;0.5477;0.8944;0.4472
especie_N;2.2000;1.8000;2.6000;0.4472;0.4472;0.8944
dejar_V;1.6000;3.0000;3.0000;0.5477;0.0000;0.0000
nombre_N;2.1667;1.5000;2.1667;0.4082;0.5477;0.7528
solo_A;1.4000;1.8000;3.0000;0.5477;0.4472;0.0000
corazón_N;2.8000;2.4000;3.0000;0.4472;0.5477;0.0000
lograr_V;3.0000;3.0000;2.6000;0.0000;0.0000;0.5477
entender_V;3.0000;2.8000;2.6000;0.0000;0.4472;0.5477
acercar_V;2.2000;3.0000;2.6000;0.4472;0.0000;0.5477
grande_A;2.0000;1.8000;2.6000;0.0000;0.4472;0.8944
ojo_N;2.2000;1.8000;3.0000;0.4472;0.4472;0.0000
bueno_A;3.0000;2.2000;2.6000;0.0000;0.8367;0.5477
trabajar_V;2.6000;3.0000;3.0000;0.5477;0.0000;0.0000
permitir_V;2.8000;3.0000;2.4000;0.4472;0.0000;0.8944
junto_R;2.6000;2.2000;2.6000;0.5477;0.4472;0.5477
hablar_V;2.2000;3.0000;3.0000;0.4472;0.0000;0.0000
hacer_V;2.4000;3.0000;2.8000;0.5477;0.0000;0.4472
tiempo_N;2.0000;2.0000;2.2000;0.7071;0.7071;0.8367
nuevo_A;2.8000;1.6000;2.6000;0.4472;0.5477;0.5477
mirada_N;2.4000;2.6000;2.8000;0.5477;0.5477;0.4472
entrar_V;2.2000;3.0000;3.0000;0.4472;0.0000;0.0000
cuerpo_N;2.0000;2.2000;3.0000;0.0000;0.4472;0.0000
tipo_N;1.8000;2.0000;1.2000;0.4472;0.0000;0.4472
cosa_N;2.0000;2.0000;1.6000;0.0000;0.0000;0.8944
volver_V;1.6000;2.2000;2.4000;0.5477;1.0954;0.5477
propio_A;2.4000;2.0000;2.6000;0.5477;0.7071;0.5477
más_R;2.8000;2.2000;2.2000;0.4472;0.4472;0.8367
llamar_V;2.2000;3.0000;3.0000;0.4472;0.0000;0.0000
canción_N;3.0000;2.0000;3.0000;0.0000;1.0000;0.0000
alcanzar_V;3.0000;3.0000;2.8000;0.0000;0.0000;0.4472
pensar_V;2.8000;2.6000;3.0000;0.4472;0.8944;0.0000
agua_N;2.6000;2.0000;3.0000;0.5477;0.7071;0.0000
aire_N;2.6000;2.0000;2.2000;0.5477;0.7071;1.0954
jugar_V;3.0000;3.0000;3.0000;0.0000;0.0000;0.0000
voz_N;2.4000;2.8000;2.8000;0.5477;0.4472;0.4472
poder_V;2.8000;2.8000;2.2000;0.4472;0.4472;1.0954
sentar_V;2.4000;2.6000;2.8000;0.5477;0.8944;0.4472
mar_N;2.8000;2.6000;3.0000;0.4472;0.8944;0.0000
mirar_V;2.4000;2.8000;3.0000;0.5477;0.4472;0.0000
río_N;2.6000;2.4000;2.8000;0.5477;0.8944;0.4472
dolor_N;1.0000;2.6000;2.8000;0.0000;0.5477;0.4472
caso_N;2.0000;1.8000;1.4000;0.0000;0.4472;0.8944
mantener_V;1.8000;3.0000;1.6000;0.4472;0.0000;0.8944
historia_N;2.4000;2.0000;2.0000;0.5477;0.7071;1.0000
región_N;2.0000;1.8000;1.6000;0.0000;0.4472;0.8944
abrir_V;2.4000;3.0000;3.0000;0.5477;0.0000;0.0000
último_A;1.6000;1.8000;2.2000;0.5477;0.8367;0.8367
hermano_N;2.6000;2.2000;2.8000;0.5477;0.4472;0.4472
lugar_N;2.0000;1.6000;2.0000;0.0000;0.5477;0.7071
junto_A;2.4000;2.2000;2.4000;0.5477;0.8367;0.8944
presentar_V;2.4000;3.0000;2.4000;0.5477;0.0000;0.8944
producir_V;2.4000;3.0000;2.2000;0.5477;0.0000;1.0954
estar_V;2.8000;2.2000;2.4000;0.4472;0.8367;0.5477
venir_V;2.4000;3.0000;3.0000;0.5477;0.0000;0.0000
palabra_N;2.0000;2.2000;2.2000;0.0000;0.4472;0.8367
habitante_N;2.5000;1.8333;2.8333;0.5477;0.9832;0.4082
fin_N;2.0000;2.2000;2.2000;0.0000;0.8367;0.8367
sólo_R;2.0000;1.8000;2.0000;0.7071;0.8367;1.0000
